"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
204,"Oneohtrix Point Never","WME","ambient, art pop, art rock, bass music, chamber psych, chillwave, compositional ambient, dream pop, drone, electronic, escape room, experimental, experimental pop, experimental rock, fluxwork, fourth world, freak folk, hauntology, indie r&b, indietronica, intelligent dance music, mandible, microhouse, neo-psychedelic, noise pop, noise rock, outsider house, post-rock, vaporwave, wonky","https://i.scdn.co/image/e6d52082eaf5384a035ea0b87e176d65fcad4e9c",51,2437906,"https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK","2wPDbhaGXCqROrVmwDdCrK",74361
205,"Netsky","WME","drum and bass, liquid funk","https://i.scdn.co/image/3df0b32c15a1dafc37644ab0332b9d0f1f114462",64,2884896,"https://open.spotify.com/artist/5TgQ66WuWkoQ2xYxaSTnVP","5TgQ66WuWkoQ2xYxaSTnVP",305650
206,"NERVO","WME","australian dance, big room, dance pop, deep big room, edm, electro house, house, progressive electro house, progressive house","https://i.scdn.co/image/37449ac5ef413d87861fd58e75709d2143ffbba6",63,1118443,"https://open.spotify.com/artist/4j5KBTO4tk7up54ZirNGvK","4j5KBTO4tk7up54ZirNGvK",525229
207,"Orbital","WME","acid house, big beat, breakbeat, drum and bass, electronic, hardcore techno, intelligent dance music, trip hop","https://i.scdn.co/image/9b33ab9dad9be8d90c896c6d9642318d2d1e3a25",54,271609,"https://open.spotify.com/artist/3csPCeXsj2wezyvkRFzvmV","3csPCeXsj2wezyvkRFzvmV",133549
208,"Paper Diamond","WME","glitch hop","https://i.scdn.co/image/9d65cf530372cebac4e2326310bf528095a38ec8",31,3786646,"https://open.spotify.com/artist/70YdZdpRWH0JNQc8ABCiAU","70YdZdpRWH0JNQc8ABCiAU",24312
209,"Paris Hilton","WME","dance pop, post-teen pop, strut","https://i.scdn.co/image/37dc3f652612336fda4617854b9371109602ff32",47,502783,"https://open.spotify.com/artist/1vkJFCwstOoJO7yQ4lTtLK","1vkJFCwstOoJO7yQ4lTtLK",224091
210,"Espinoza Paz","WME","banda, grupera, norteno, ranchera, regional mexican","https://i.scdn.co/image/e6d83b4c5689784858a02fc82dbd9a7b1653809e",64,102283,"https://open.spotify.com/artist/01rgao9OzfBm2BOHWJpi1Y","01rgao9OzfBm2BOHWJpi1Y",753453
211,"Peggy Gou","WME","chicago house, deep house, float house","https://i.scdn.co/image/56a60dc559ac3a0f2bd66e419c42d0d45e0ae157",51,8676764,"https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN","2mLA48B366zkELXYx7hcDN",47838
212,"Pet Shop Boys","WME","art pop, dance pop, dance rock, europop, new romantic, new wave, new wave pop, permanent wave, synthpop","https://i.scdn.co/image/31f687d07947ecb10d8b8cdfe16db074cc1c87e7",67,550013,"https://open.spotify.com/artist/2ycnb8Er79LoH2AsR5ldjh","2ycnb8Er79LoH2AsR5ldjh",633592
213,"Pete Tong","WME","disco house, electronic","https://i.scdn.co/image/ca2d19b6229417a4292cf8dbf44e9f07b71abfb9",52,508028,"https://open.spotify.com/artist/6n1t55WMsSIUFHrAL4mUsB","6n1t55WMsSIUFHrAL4mUsB",113608
